Name	Count	Percentage
Finnish;Swedish;German;French;Russian	    1	 0.00
Finnish;Swedish;German;Latin	    1	 0.00
Finnish;Swedish;Greek, Modern (1453-)	    1	 0.00
Finnish;Swedish;Hungarian;French	    1	 0.00
Finnish;Swedish;Russian;English;French	    1	 0.00
Finnish;Swedish;Russian;German;English	    1	 0.00
Finno-Ugrian (Other);French	    1	 0.00
French;English	    1	 0.00
French;Finnish;German	    1	 0.00
French;Finnish;Swedish	    1	 0.00
French;Lithuanian	    1	 0.00
French;Russian;Ukrainian;Polish;Czech;Slovak;Serbian;Icelandic;Swedish;German;Low German;Dutch;English;Spanish;Italian;Greek, Modern (1453-);Armenian;Finnish;Hungarian;Tatar;Hebrew	    1	 0.00
German;English;Russian	    1	 0.00
German;French;Danish	    1	 0.00
German;French;English;Spanish	    1	 0.00
German;French;Russian	    1	 0.00
German;Latin	    1	 0.00
Germanic (Other);Latin	    1	 0.00
Germanic (Other);Latin;English	    1	 0.00
Greek, Ancient (to 1453)	    1	 0.00
Greek, Ancient (to 1453);Latin;Swedish	    1	 0.00
Ido;Artificial (Other);Swedish	    1	 0.00
Karelian;Russian	    1	 0.00
Latin;German	    1	 0.00
Latin;Greek, Ancient (to 1453);German	    1	 0.00
Latin;Russian;Swedish	    1	 0.00
Latin;Swedish;Greek, Ancient (to 1453)	    1	 0.00
Latin;Syriac	    1	 0.00
Latin;Turkish	    1	 0.00
Moksha	    1	 0.00
Norwegian;Swedish;Danish	    1	 0.00
Ossetic	    1	 0.00
Romanian	    1	 0.00
Russian;Esperanto	    1	 0.00
Russian;Finnish;Multiple languages	    1	 0.00
Russian;Finnish;Swedish;German	    1	 0.00
Russian;Greek, Ancient (to 1453)	    1	 0.00
Russian;Latin	    1	 0.00
Russian;Multiple languages	    1	 0.00
Russian;Swedish;German;French	    1	 0.00
Sami;Northern Sami	    1	 0.00
Swedish;Arabic;Persian;Turkish	    1	 0.00
Swedish;English;French	    1	 0.00
Swedish;English;French;German	    1	 0.00
Swedish;English;German	    1	 0.00
Swedish;English;German;French;Russian;Italian	    1	 0.00
Swedish;Finnish;English;Russian	    1	 0.00
Swedish;Finnish;German;Russian	    1	 0.00
Swedish;Finno-Ugrian (Other);Finnish	    1	 0.00
Swedish;French;Latin	    1	 0.00
Swedish;German;Danish	    1	 0.00
Swedish;German;Finnish;English	    1	 0.00
Swedish;Greek, Modern (1453-);Latin	    1	 0.00
Swedish;Latin;French	    1	 0.00
Swedish;Latin;Greek, Ancient (to 1453)	    1	 0.00
Swedish;Latin;Russian	    1	 0.00
Swedish;Norwegian;Danish	    1	 0.00
Swedish;Old Norse	    1	 0.00
Swedish;Russian;Finnish;German	    1	 0.00
Swedish;Votic	    1	 0.00
Tibetan	    1	 0.00
Ukrainian	    1	 0.00
Ukrainian;Russian	    1	 0.00
Yiddish	    1	 0.00
